date,file,house,bill,state,chamber
Jun-81,jpi_June_1981.pdf,Jammu & Kashmir Legislative Council,A Bill to authorize payment and appropriation of certain sums from and out of the Consolidated Fund of J.K. for the services of the financial year 1981-82.,Jammu And Kashmir,Legislative Council
Jun-81,jpi_June_1981.pdf,Jammu & Kashmir Legislative Council,"A Bill to provide for the authorization of appropriation of montey out of the Consolidated Fund of the J&K State to meet the amount spent on certain services during the financial year ended on 31st of March 1973, in excess of the amounts authorised or granted for the said services.",Jammu And Kashmir,Legislative Council
Jun-81,jpi_June_1981.pdf,Jammu & Kashmir Legislative Council,"A Bill to provide for authorisation of appropriation of moneys out of the Consolidated Fund of the J&K State to meet the amounts spent on certain services during the financial year ended on the 31st of March, 1974 in excess of thE:' amounts authorised or granted for the said services.",Jammu And Kashmir,Legislative Council
Jun-81,jpi_June_1981.pdf,Jammu & Kashmir Legislative Council,"A Bill to provide for authorisation o! appropriation of moneys out ot the Consolidated Fund of J&K State to meet the amounts spent on certain services during the financial year ende.-ci on the 31st day of March, 1975, in excess of the amounts authorised or granted tor the said services.",Jammu And Kashmir,Legislative Council
Jun-81,jpi_June_1981.pdf,Jammu & Kashmir Legislative Council,"A Bill to provide for the authorisation of appropriation of moneys out of the Consolidated Fund of J&K StatEc- to meet the amounts spent on certain services during the financial year ended on the 31st day of March, 1976 in excess of the amounts authorised or granted for the said services.",Jammu And Kashmir,Legislative Council
Jun-81,jpi_June_1981.pdf,Jammu & Kashmir Legislative Council,"*A Bill further to amend the Dowry Restraint Act, 1960.",Jammu And Kashmir,Legislative Council
Jun-81,jpi_June_1981.pdf,Jammu & Kashmir Legislative Council,"*A Bill to amend the J&K Sikh Gurdwaras and Religious Endowment Act, 1973.",Jammu And Kashmir,Legislative Council
Jun-81,jpi_June_1981.pdf,Jammu & Kashmir Legislative Council,"*A Bill further to amend the J&K Sikh Gurudwaras and Religious Endowment Act, 1973.",Jammu And Kashmir,Legislative Council
Jun-81,jpi_June_1981.pdf,Jammu & Kashmir Legislative Council,A Bill to amend the Jammu & Kashmir Urban Immoveable Property Tax Act 1962.,Jammu And Kashmir,Legislative Council
Jun-81,jpi_June_1981.pdf,Jammu & Kashmir Legislative Council,"A Bill to &mend the Jammu and Kashmir Passengers Taxation Act, 1963.",Jammu And Kashmir,Legislative Council
Jun-81,jpi_June_1981.pdf,Jammu & Kashmir Legislative Assembly,"A Bill further to amend the Jammu and Kashmir Agrarian Reforms Act, 1976.",Jammu And Kashmir,Legislative Assembly
Jun-81,jpi_June_1981.pdf,Jammu & Kashmir Legislative Assembly,"A Bill to amend the Transfer of Property Act, Samvat, 1977.",Jammu And Kashmir,Legislative Assembly
Jun-81,jpi_June_1981.pdf,Jammu & Kashmir Legislative Assembly,"A Bill to amend the J&K Common Lands (Regulation) Act, 1956.",Jammu And Kashmir,Legislative Assembly
Jun-81,jpi_June_1981.pdf,Jammu & Kashmir Legislative Assembly,Appropriation Bill 1980-81.,Jammu And Kashmir,Legislative Assembly
Jun-81,jpi_June_1981.pdf,Jammu & Kashmir Legislative Assembly,Appropriation Bill 1981-82.,Jammu And Kashmir,Legislative Assembly
Jun-81,jpi_June_1981.pdf,Jammu & Kashmir Legislative Assembly,Appropriation Bill 1972-73.,Jammu And Kashmir,Legislative Assembly
Jun-81,jpi_June_1981.pdf,Jammu & Kashmir Legislative Assembly,Appropriation Bill 1973-74.,Jammu And Kashmir,Legislative Assembly
Jun-81,jpi_June_1981.pdf,Jammu & Kashmir Legislative Assembly,Appropriation Bill 1974-75.,Jammu And Kashmir,Legislative Assembly
Jun-81,jpi_June_1981.pdf,Jammu & Kashmir Legislative Assembly,Appropriation Bill 1975-76.,Jammu And Kashmir,Legislative Assembly
Jun-81,jpi_June_1981.pdf,Jammu & Kashmir Legislative Assembly,"Jammu and Kashmir Livestock Improvement Amendment Bill, 1981.",Jammu And Kashmir,Legislative Assembly
Jun-81,jpi_June_1981.pdf,Jammu & Kashmir Legislative Assembly,"The Criminal Law (Amendment) Bill, 1981.",Jammu And Kashmir,Legislative Assembly
Jun-81,jpi_June_1981.pdf,Jammu & Kashmir Legislative Assembly,"Jammu and Kashmir Gurdwara and Religious Endowment (Amend· ment) Bill, 1979 (Bill Nos. 3 and 27).",Jammu And Kashmir,Legislative Assembly
Jun-81,jpi_June_1981.pdf,Jammu & Kashmir Legislative Assembly,"A Bill to amend the Dowry Restraint Act, 1960.",Jammu And Kashmir,Legislative Assembly
Jun-81,jpi_June_1981.pdf,Jammu & Kashmir Legislative Assembly,"A Bill further to amend the J&K A&rarian Reform Act, 1976 (Private Bill).",Jammu And Kashmir,Legislative Assembly
Jun-81,jpi_June_1981.pdf,Jammu & Kashmir Legislative Assembly,"J&:K Sikh Gurdwarn Act, (Bill No. 10.)",Jammu And Kashmir,Legislative Assembly
Jun-81,jpi_June_1981.pdf,Karnataka Legislative Council,"The Electricity (Supply) (Karnataka Amendment) Bill, 1981.",Karnataka,Legislative Council
Jun-81,jpi_June_1981.pdf,Karnataka Legislative Council,"The Karnataka Contingency Fund (Amendment) Bill, 1981.",Karnataka,Legislative Council
Jun-81,jpi_June_1981.pdf,Karnataka Legislative Council,"The Karnataka Stamp (Amendment) Bill, 1981.",Karnataka,Legislative Council
Jun-81,jpi_June_1981.pdf,Karnataka Legislative Council,"The Karnataka Inams Abolition Laws (Amendment) Bill, 1981.",Karnataka,Legislative Council
Jun-81,jpi_June_1981.pdf,Karnataka Legislative Council,"The Karnataka Public Premises (Eviction of Unauthorised Occupants) (Amendment) Bill, 1981.",Karnataka,Legislative Council
Jun-81,jpi_June_1981.pdf,Karnataka Legislative Council,"The Karnataka Municipalities (Amendment) Bill, 1981.",Karnataka,Legislative Council
Jun-81,jpi_June_1981.pdf,Karnataka Legislative Council,"The Karnataka Departmental Inquiries (Enforcement of Attendance of Witnesses and Production of Docum(mts) Bill, 1981.",Karnataka,Legislative Council
Jun-81,jpi_June_1981.pdf,Karnataka Legislative Council,"The Kamataka Nurses. Midwives and Health Visitors (Amendment) BiU, 1981.",Karnataka,Legislative Council
Jun-81,jpi_June_1981.pdf,Karnataka Legislative Council,"The Karnataka Court Fee and Suits Valuation (Am<:ndment) Bill, 1981.",Karnataka,Legislative Council
Jun-81,jpi_June_1981.pdf,Karnataka Legislative Council,The Bangalore Development Authority (Amendment) Bill. 1981.,Karnataka,Legislative Council
Jun-81,jpi_June_1981.pdf,Karnataka Legislative Council,"The Karnataka Local Authoriti<:s Official Languages (Amendment) Bill, 1981.",Karnataka,Legislative Council
Jun-81,jpi_June_1981.pdf,Karnataka Legislative Council,"The Karnataka Debt Relief (Amendment) Bill, 1981.",Karnataka,Legislative Council
Jun-81,jpi_June_1981.pdf,Karnataka Legislative Council,"The Karnataka Tax on Entry of Goods into a Local Areas for Consumption, Use or Sale th(1l""ein (Repeal) Bill, 1981.",Karnataka,Legislative Council
Jun-81,jpi_June_1981.pdf,Karnataka Legislative Council,"The Karnataka Slum Areas (Improvement and Clearance) (Amendment) Bill, 1981.",Karnataka,Legislative Council
Jun-81,jpi_June_1981.pdf,Karnataka Legislative Council,"The Kamataka ImprovE:Tnent Boards (Amendment) Bill, 1981.",Karnataka,Legislative Council
Jun-81,jpi_June_1981.pdf,Karnataka Legislative Council,"The Karnataka Land Improvemen_t (Amendment) Bill, 1981.",Karnataka,Legislative Council
Jun-81,jpi_June_1981.pdf,Karnataka Legislative Council,"The Karnataka Electricity SupplY. Undertakings (Acquisition) (Amendment) Bill, 1981.",Karnataka,Legislative Council
Jun-81,jpi_June_1981.pdf,Karnataka Legislative Council,"The Mysore Betting Tax (Karnataka Amen­ dment) Bill, 1981.",Karnataka,Legislative Council
Jun-81,jpi_June_1981.pdf,Karnataka Legislative Council,"The Cotton Ginning and Pressing Factol'ies (Karnataka Amendment) Bill, 1981.",Karnataka,Legislative Council
Jun-81,jpi_June_1981.pdf,Karnataka Legislative Council,"The Karnataka Appropriation Bill, 1981.",Karnataka,Legislative Council
Jun-81,jpi_June_1981.pdf,Karnataka Legislative Council,"The Karnataka Appropriation (Vote on Account) Bill, 1981.",Karnataka,Legislative Council
Jun-81,jpi_June_1981.pdf,Karnataka Legislative Assembly,"The Karnataka Nurses, Midwives and Health Visitors (Amendment) Bill, 1981.",Karnataka,Legislative Assembly
Jun-81,jpi_June_1981.pdf,Karnataka Legislative Assembly,"The Karnataka Municipalities (Amendment) Bill, 1981.",Karnataka,Legislative Assembly
Jun-81,jpi_June_1981.pdf,Karnataka Legislative Assembly,"The Karnataka Electricity Supply Undertakings (Acquisition) (Amendment) Bill, 1981.",Karnataka,Legislative Assembly
Jun-81,jpi_June_1981.pdf,Karnataka Legislative Assembly,"The Karnataka Stamp (Amendment) Bill, 1981.",Karnataka,Legislative Assembly
Jun-81,jpi_June_1981.pdf,Karnataka Legislative Assembly,"The Mysore Betting Tax (Karnataka Amendment) Bill, 1981.",Karnataka,Legislative Assembly
Jun-81,jpi_June_1981.pdf,Karnataka Legislative Assembly,"The Cotton Ginning and Pressing FactoriE:S (Karnataka Amendment) Bill, 1981.",Karnataka,Legislative Assembly
Jun-81,jpi_June_1981.pdf,Karnataka Legislative Assembly,"The Karnataka Debt Relief (Amendment) Bill, 1981.",Karnataka,Legislative Assembly
Jun-81,jpi_June_1981.pdf,Karnataka Legislative Assembly,"The Karnataka Local Authorities (Official Language) Bill, 1981.",Karnataka,Legislative Assembly
Jun-81,jpi_June_1981.pdf,Karnataka Legislative Assembly,"The Karnataka Electricity (Supply) (Karnataka Amendment) Bill, 1981.",Karnataka,Legislative Assembly
Jun-81,jpi_June_1981.pdf,Karnataka Legislative Assembly,"The Karnataka Inams Abolition Laws (Amendment) Bill, 1981.",Karnataka,Legislative Assembly
Jun-81,jpi_June_1981.pdf,Karnataka Legislative Assembly,The Bangalore Development Authority (Amendment) Bill. 1981.,Karnataka,Legislative Assembly
Jun-81,jpi_June_1981.pdf,Karnataka Legislative Assembly,"The Karnataka Tax on Entry of Goods into Local Ar­eas for Consumption, Use or Sale therein (Resolution) Bill, 1981.",Karnataka,Legislative Assembly
Jun-81,jpi_June_1981.pdf,Karnataka Legislative Assembly,"Tl""e Karnataka Slum Areas (Improvement and Clearance) (Amend­ ment) Bill, 1981.",Karnataka,Legislative Assembly
Jun-81,jpi_June_1981.pdf,Karnataka Legislative Assembly,"The Karnataka Land Improvement (Amendment) Bill, 1981.",Karnataka,Legislative Assembly
Jun-81,jpi_June_1981.pdf,Karnataka Legislative Assembly,ThE:- Karnataka Public Premises (Eviction of Unauthorised Occupants) (Amendment) Bill. 1981.,Karnataka,Legislative Assembly
Jun-81,jpi_June_1981.pdf,Karnataka Legislative Assembly,"The Karnataka Court Fees and Suits Validation (Amendment) Bill, 1981.",Karnataka,Legislative Assembly
Jun-81,jpi_June_1981.pdf,Karnataka Legislative Assembly,"The Kamataka Improvement Board (Amendment Bill, 1981.",Karnataka,Legislative Assembly
Jun-81,jpi_June_1981.pdf,Karnataka Legislative Assembly,The Karnataka Contingency Fund (Amendment) Bill. 1981.,Karnataka,Legislative Assembly
Jun-81,jpi_June_1981.pdf,Karnataka Legislative Assembly,"The Karnataka DE.'partmental InquiriE:'S (Enforcement of Attendance or witnesses and production of Documents) Bill, 1981.",Karnataka,Legislative Assembly
Jun-81,jpi_June_1981.pdf,Karnataka Legislative Assembly,"The Karnataka Legal Aid Board Bill, 1981.",Karnataka,Legislative Assembly
Jun-81,jpi_June_1981.pdf,Karnataka Legislative Assembly,"The Mysore Electrical IndustriE:s Limited (Acquisition of Shares) (Amendment) Bill, 1981.",Karnataka,Legislative Assembly
Jun-81,jpi_June_1981.pdf,Karnataka Legislative Assembly,The Karnataka Appropriation Bill. 1981.,Karnataka,Legislative Assembly
Jun-81,jpi_June_1981.pdf,Karnataka Legislative Assembly,"The Karnataka Civil and Small Causes Courts (Amendment) Bill, 1981.",Karnataka,Legislative Assembly
Jun-81,jpi_June_1981.pdf,Karnataka Legislative Assembly,"The Tax on Entry of Goods into Local ArE:as for Consumption, Use or Sale therein (Amendment) Bill, 1981.",Karnataka,Legislative Assembly
Jun-81,jpi_June_1981.pdf,Karnataka Legislative Assembly,"The Karnataka Entertainment Tax (Amendment) Bill, 1981.",Karnataka,Legislative Assembly
Jun-81,jpi_June_1981.pdf,Karnataka Legislative Assembly,"ThE: Karnataka Tax on Professions, Trades Callings and Employment (Amendment) Bill, 1981.",Karnataka,Legislative Assembly
Jun-81,jpi_June_1981.pdf,Karnataka Legislative Assembly,"The Karnataka Legislature Salaries, Pensions and Allowances (Amendment) Bill. 198(",Karnataka,Legislative Assembly
Jun-81,jpi_June_1981.pdf,Karnataka Legislative Assembly,"The Karnataka Ministe:rs Salaries and Allowances (Amendment) Bill, 1981.",Karnataka,Legislative Assembly
Jun-81,jpi_June_1981.pdf,Karnataka Legislative Assembly,"The Karnataka Appropriation (Vote on Account) Bill, 1981.",Karnataka,Legislative Assembly
Jun-81,jpi_June_1981.pdf,Karnataka Legislative Assembly,"The Karnataka Silworm Seed Cocoon and Slikyarn (Regulation of Production. Supply and Distribution and Sale) (Amendment) Bill, 1981.",Karnataka,Legislative Assembly
Jun-81,jpi_June_1981.pdf,Karnataka Legislative Assembly,"The Karnataka SalE:s Tax (Amendment) Bill, 1981.",Karnataka,Legislative Assembly
Jun-81,jpi_June_1981.pdf,Karnataka Legislative Assembly,"The Karnataka Tax on Luxuries (Hotels and Lodging Houses) (Amendment) Bill, 1981.",Karnataka,Legislative Assembly
Jun-81,jpi_June_1981.pdf,Kerala Legislative Assembly,"*The Kerala Slum Areas (lmproveme:nt and Clearance) Bill, 1980.",Kerala,Legislative Assembly
Jun-81,jpi_June_1981.pdf,Kerala Legislative Assembly,"The Kerala Appropriation Bill, 1981.",Kerala,Legislative Assembly
Jun-81,jpi_June_1981.pdf,Kerala Legislative Assembly,"The Kerala Appropriation (Vote on Account) Bill, 1981.",Kerala,Legislative Assembly
Jun-81,jpi_June_1981.pdf,Kerala Legislative Assembly,"The Kerala Raw Cashe:wnuts (Procurement and Distribution) Bill, 1981.",Kerala,Legislative Assembly
Jun-81,jpi_June_1981.pdf,Kerala Legislative Assembly,"*The Kerala Service Inam Lands (Vesting and Enfr&llchisement) Bill, 1980.",Kerala,Legislative Assembly
Jun-81,jpi_June_1981.pdf,Kerala Legislative Assembly,"The Payment of Salaries and Allowances (Amendment) Bill, 1981.",Kerala,Legislative Assembly
Jun-81,jpi_June_1981.pdf,Madhya Pradesh Vidhan Sabha,"The Madhya Pradesh Appropriation (No. 2) Vidheyak, 1980.",Madhya Pradesh,Vidhan Sabha
Jun-81,jpi_June_1981.pdf,Madhya Pradesh Vidhan Sabha,"The Madhya Pradesh Appropriation (No. 3) Vidheyak, 1980.",Madhya Pradesh,Vidhan Sabha
Jun-81,jpi_June_1981.pdf,Madhya Pradesh Vidhan Sabha,"The Madhya Pradesh Nirsan Vidheyak, 1980.",Madhya Pradesh,Vidhan Sabha
Jun-81,jpi_June_1981.pdf,Madhya Pradesh Vidhan Sabha,"ThE: Madhya Pradesh Krishiudhar Pravartan tatha Prakiran Upbandh (Bank) Sanshodhan Vidheyak, 1980.",Madhya Pradesh,Vidhan Sabha
Jun-81,jpi_June_1981.pdf,Madhya Pradesh Vidhan Sabha,"The Madhya Pradesh Rajya Matsya Vikas Nigam (Sanshodhan) Vidheyak, 1980.",Madhya Pradesh,Vidhan Sabha
Jun-81,jpi_June_1981.pdf,Madhya Pradesh Vidhan Sabha,"*The Madhya Pradesh Lokayukt Tatha Uplokayukt Vidheyak, 1980.",Madhya Pradesh,Vidhan Sabha
Jun-81,jpi_June_1981.pdf,Madhya Pradesh Vidhan Sabha,"The Madhya Pradesh Municipalities (Amendment) Bill, 1981.",Madhya Pradesh,Vidhan Sabha
Jun-81,jpi_June_1981.pdf,Madhya Pradesh Vidhan Sabha,*8. The Madhya Pradesh Uchh Nyayalaya (Letters Patent Appeal Samapti) Vidheyak. 1981.,Madhya Pradesh,Vidhan Sabha
Jun-81,jpi_June_1981.pdf,Madhya Pradesh Vidhan Sabha,"The Madhya Pradesh Grlha Nirman Mandal (Sanshodhan) Vidheyak, 1981.",Madhya Pradesh,Vidhan Sabha
Jun-81,jpi_June_1981.pdf,Madhya Pradesh Vidhan Sabha,"The Madhya Pradesh Rajya Bhumi Vikas Nigam (Sanshodhan) Vidheyak, 1981.",Madhya Pradesh,Vidhan Sabha
Jun-81,jpi_June_1981.pdf,Madhya Pradesh Vidhan Sabha,"The Madhya Pradesh Sahkari Society (Sanshodhan) Vidheyak, 1981.",Madhya Pradesh,Vidhan Sabha
Jun-81,jpi_June_1981.pdf,Madhya Pradesh Vidhan Sabha,The Madhya Pradesh Asthan Niyantran (Sanshodhan) Vidheyak 1981.,Madhya Pradesh,Vidhan Sabha
Jun-81,jpi_June_1981.pdf,Madhya Pradesh Vidhan Sabha,The Madhya Pradesh Lok Parishad (Bedakhali) Sanshodhan Vidhe· yak. 1981.,Madhya Pradesh,Vidhan Sabha
Jun-81,jpi_June_1981.pdf,Madhya Pradesh Vidhan Sabha,"The Madhya Pradesh Lok Dhan (Saodhyarashiyoon ki Wasooli) Sanshodhan Vidheyak, 1981.",Madhya Pradesh,Vidhan Sabha
Jun-81,jpi_June_1981.pdf,Madhya Pradesh Vidhan Sabha,"The Madhya Pradesh Appropriation Bill, 1981.",Madhya Pradesh,Vidhan Sabha
Jun-81,jpi_June_1981.pdf,Madhya Pradesh Vidhan Sabha,"The Madhya Pradesh Akrishi Jot Uchchatam Seema Vidheyak, 1981.",Madhya Pradesh,Vidhan Sabha
Jun-81,jpi_June_1981.pdf,Madhya Pradesh Vidhan Sabha,The Madhya PradE:Sh Appropriation (Vote on Account) Bill 1981.,Madhya Pradesh,Vidhan Sabha
Jun-81,jpi_June_1981.pdf,Madhya Pradesh Vidhan Sabha,"Veosai Sangh (Madhya Pradesh Sanshodhan) Vidheyak, 1981.",Madhya Pradesh,Vidhan Sabha
Jun-81,jpi_June_1981.pdf,Madhya Pradesh Vidhan Sabha,The Madhya Pradesh Appropriation (No. 4) Bill. 1981.,Madhya Pradesh,Vidhan Sabha
Jun-81,jpi_June_1981.pdf,Madhya Pradesh Vidhan Sabha,"*The Madhya Pradesh Upkar Vidheyak, 1981.",Madhya Pradesh,Vidhan Sabha
Jun-81,jpi_June_1981.pdf,Madhya Pradesh Vidhan Sabha,"The Madhya Pradesh Vidhan Sabha Sadasya VE:tan Bhatta tatha Pension (Sanshodhan) Vidheyak,. 1981.",Madhya Pradesh,Vidhan Sabha
Jun-81,jpi_June_1981.pdf,Madhya Pradesh Vidhan Sabha,"*The Madhya Pradesh Prakoshtha Swamitwa (Sanshodhan) Vidheyak, 1981.",Madhya Pradesh,Vidhan Sabha
Jun-81,jpi_June_1981.pdf,Madhya Pradesh Vidhan Sabha,"The Madhya Pradesh Mantri (Vetan Tatha Bhalta) Sanshodhan Vidheyak, 1981.",Madhya Pradesh,Vidhan Sabha
Jun-81,jpi_June_1981.pdf,Madhya Pradesh Vidhan Sabha,"*The Madhya Pradesh Karadhan Vidhi (Sanshodhan) Vidheyak, 1981. ·-----",Madhya Pradesh,Vidhan Sabha
Jun-81,jpi_June_1981.pdf,Madhya Pradesh Vidhan Sabha,"The Madhya Pradesh Vishesh Sashastra Bal (Sanshodhan) Vidheyak, 1981.",Madhya Pradesh,Vidhan Sabha
Jun-81,jpi_June_1981.pdf,Madhya Pradesh Vidhan Sabha,"The Police (Darooh Uddipan) Madhya Pradesh Sanshodhan Vidheyak, 1981.",Madhya Pradesh,Vidhan Sabha
Jun-81,jpi_June_1981.pdf,Madhya Pradesh Vidhan Sabha,"The Madhya Pradesh Mantri (Vetan tatha Bhatta) Dwitiy Sanshodhan Vidheyak, 1981.",Madhya Pradesh,Vidhan Sabha
Jun-81,jpi_June_1981.pdf,Madhya Pradesh Vidhan Sabha,"*The Madhya Pradesh Khadi tatha Gramodyog (Sanshodhan) Vidheyak, 1981.",Madhya Pradesh,Vidhan Sabha
Jun-81,jpi_June_1981.pdf,Madhya Pradesh Vidhan Sabha,"The Madhya Pradesh Vidhan Mandal Virodhi Dal Ka Neta (Vetan Tatha Bhatta) Sanshodhan Vidheyak, 1981.",Madhya Pradesh,Vidhan Sabha
Jun-81,jpi_June_1981.pdf,Madhya Pradesh Vidhan Sabha,"The Madhya Pradesh Ashaskiay Sikshan Sanstha (Adhyapakon tatha anya Karmachariyon ke Vetano ka Sandaya) Sanshodhan Vidheyak, 1981.",Madhya Pradesh,Vidhan Sabha
Jun-81,jpi_June_1981.pdf,Madhya Pradesh Vidhan Sabha,"The Madhya Pradesh Vidhan Sabha Sachivalaya Seva Vidheyak, 1981.",Madhya Pradesh,Vidhan Sabha
Jun-81,jpi_June_1981.pdf,Punjab Vidhan Sabha,"The Punjab Appropriation Bill, 1981.",Punjab,Vidhan Sabha
Jun-81,jpi_June_1981.pdf,Punjab Vidhan Sabha,"The Punjab Appropriation (No 2) Bill, 1981.",Punjab,Vidhan Sabha
Jun-81,jpi_June_1981.pdf,Punjab Vidhan Sabha,"The Punjab Appropriation (No. 3) Bill, 1981.",Punjab,Vidhan Sabha
Jun-81,jpi_June_1981.pdf,Punjab Vidhan Sabha,"The Punjab Town Improvement (Amendment) Bill, 1981.",Punjab,Vidhan Sabha
Jun-81,jpi_June_1981.pdf,Punjab Vidhan Sabha,"The Punjab Gram Panchayat (Amendment) Bill, 1981.",Punjab,Vidhan Sabha
Jun-81,jpi_June_1981.pdf,Punjab Vidhan Sabha,"The Punjab Panchayat Samitis and Zila Parishads (Amendment and Validation) Bill, 1981.",Punjab,Vidhan Sabha
Jun-81,jpi_June_1981.pdf,Punjab Vidhan Sabha,"The Punjab Homoeopathic Practitioners (Amendment and Validation) Bill, 1981.",Punjab,Vidhan Sabha
Jun-81,jpi_June_1981.pdf,Punjab Vidhan Sabha,"The Punjab Agricultural Produce Markets (Amendment) Bill, 1981.",Punjab,Vidhan Sabha
Jun-81,jpi_June_1981.pdf,Punjab Vidhan Sabha,"The Punjab Prohibition of Cow Slaughter (Amendment) Bill, 1981.",Punjab,Vidhan Sabha
Jun-81,jpi_June_1981.pdf,Punjab Vidhan Sabha,"The Punjab Passengers and Goods Taxation (Amendment) Bill, 1981.",Punjab,Vidhan Sabha
Jun-81,jpi_June_1981.pdf,Punjab Vidhan Sabha,"The Punjab Motor Vehicles Taxation (Amendment) Bill, 1981.",Punjab,Vidhan Sabha
Jun-81,jpi_June_1981.pdf,Punjab Vidhan Sabha,"The Punjab Co-operative Societies (Amendment) Bill, 1981.",Punjab,Vidhan Sabha
Jun-81,jpi_June_1981.pdf,Punjab Vidhan Sabha,"*The Public Wakfs (Extension of Limitation) (Punjab Amendment) Bill, 1981.",Punjab,Vidhan Sabha
Jun-81,jpi_June_1981.pdf,Punjab Vidhan Sabha,"*The Punjab New Mandi Townships (Development and Regulation) Amendment and Validation Bill, 1981.",Punjab,Vidhan Sabha
Jun-81,jpi_June_1981.pdf,Punjab Vidhan Sabha,"The Punjab Veterinary Council Bill, 1981.",Punjab,Vidhan Sabha
Jun-81,jpi_June_1981.pdf,Punjab Vidhan Sabha,"The Punjab Legislative Assembly (Allowances of Members) Amendment Bill, 1981.",Punjab,Vidhan Sabha
Jun-81,jpi_June_1981.pdf,Rajasthan Legislative Assembly,"The Code of Criminal Procedure (Rajasthan Amendment) Bill, 1981.",Rajasthan,Legislative Assembly
Jun-81,jpi_June_1981.pdf,Rajasthan Legislative Assembly,"The Rajasthan Appropriation (No. 1) Bill, 1981.",Rajasthan,Legislative Assembly
Jun-81,jpi_June_1981.pdf,Rajasthan Legislative Assembly,"The Rajasthan Appropriation (No. 2) Bill, 1981.",Rajasthan,Legislative Assembly
Jun-81,jpi_June_1981.pdf,Rajasthan Legislative Assembly,"The Rajasthan Legislative Assembly (Officers and Members’ Emoluments and Pension) (Amendment) Bill, 1981.",Rajasthan,Legislative Assembly
Jun-81,jpi_June_1981.pdf,Rajasthan Legislative Assembly,"The Rajasthan Ministers’ Salaries (Amendment) Bill, 1981.",Rajasthan,Legislative Assembly
Jun-81,jpi_June_1981.pdf,Uttar Pradesh Legislative Council,"The Uttar Pradesh Appropriation (Second Supplementary 1980-81) Bill, 1981.",Uttar Pradesh,Legislative Council
Jun-81,jpi_June_1981.pdf,Uttar Pradesh Legislative Council,"The Uttar Pradesh Appropriation (Regularisation of Excess Expenditure 1974-75, 1975-76 and 1976-77) Bill, 1981.",Uttar Pradesh,Legislative Council
Jun-81,jpi_June_1981.pdf,Uttar Pradesh Legislative Council,"The Uttar Pradesh Appropriation (Vote on Account) Bill, 1981.",Uttar Pradesh,Legislative Council
Jun-81,jpi_June_1981.pdf,Uttar Pradesh Legislative Council,"Uttar Pradesh Medium of Instruction Bill, 1980.",Uttar Pradesh,Legislative Council
Jun-81,jpi_June_1981.pdf,Uttar Pradesh Legislative Council,"The Uttar Pradesh Zila Parishads and Mandi Samitis (Extension of Term) Bill, 1981.",Uttar Pradesh,Legislative Council
Jun-81,jpi_June_1981.pdf,Uttar Pradesh Legislative Council,"The Uttar Pradesh State Legislature (Members Emoluments and Pension) (Second Amendment) Bill, 1981.",Uttar Pradesh,Legislative Council
Jun-81,jpi_June_1981.pdf,Uttar Pradesh Legislative Council,"The Code of Civil Procedures (Uttar Pradesh Amendment) Bill, 1981.",Uttar Pradesh,Legislative Council
Jun-81,jpi_June_1981.pdf,Uttar Pradesh Legislative Council,"The Intermediate Education (Amendment) Bill, 1981.",Uttar Pradesh,Legislative Council
Jun-81,jpi_June_1981.pdf,Uttar Pradesh Legislative Council,"The Uttar Pradesh Krishi Evam Prodyogik Vidhwavidyalaya (Sanshodhan) Vidheyak, 1981.",Uttar Pradesh,Legislative Council
Jun-81,jpi_June_1981.pdf,Uttar Pradesh Vidhan Sabha,"Uttar Pradesh Viniyog (Lekhanudaan) Vidheyak, 1981.",Uttar Pradesh,Vidhan Sabha
Jun-81,jpi_June_1981.pdf,Uttar Pradesh Vidhan Sabha,"*Uttar PradE:'Bh Bhoomi Vidhi (Sanshodhan) Vidheyak, 1981.",Uttar Pradesh,Vidhan Sabha
Jun-81,jpi_June_1981.pdf,Uttar Pradesh Vidhan Sabha,"Uttar Pradesh Viniyog (1980-81 ka Dwitiya Anupoorak) Vidheyak, 1981.",Uttar Pradesh,Vidhan Sabha
Jun-81,jpi_June_1981.pdf,Uttar Pradesh Vidhan Sabha,"Uttar Pradesh Viniyog (1974-75, 1975-76 and 1976-77 ke Badhti Vyay ka Viniyaman) Vidheyak, 1981.",Uttar Pradesh,Vidhan Sabha
Jun-81,jpi_June_1981.pdf,Uttar Pradesh Vidhan Sabha,"Uttar Pradesh Zila Parishad Avam Mandi Samiti (Karya ka Vistar) Vidheyak, 1981.",Uttar Pradesh,Vidhan Sabha
Jun-81,jpi_June_1981.pdf,Uttar Pradesh Vidhan Sabha,"Uttar Pradesh Viniyog Vidheyak, 1981.",Uttar Pradesh,Vidhan Sabha
Jun-81,jpi_June_1981.pdf,Uttar Pradesh Vidhan Sabha,"Intermediate Shiksha (Sanshodhan) Vidheyak, 1981.",Uttar Pradesh,Vidhan Sabha
Jun-81,jpi_June_1981.pdf,Uttar Pradesh Vidhan Sabha,Uttar Pradesh Krishi Avam Prodyogic Vishvavidyalaya (Sanshodhan) Vidheyak 1981.,Uttar Pradesh,Vidhan Sabha
Jun-81,jpi_June_1981.pdf,Uttar Pradesh Vidhan Sabha,Utt�r Pradesh Lok Ayukta tatha Up-Lok Ayukta (Sanshodhan) Vidheyak. 1981.,Uttar Pradesh,Vidhan Sabha
